S.no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted
1,RT @rssurjewala: Critical question: Was PayTM informed about #Demonetization edict by PM? It's clearly fishy and requires full disclosure &amp;…,FALSE,0,NA,23-11-2016 18:40,FALSE,NA,8.01496E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HASHTAGFARZIWAL,331,TRUE,FALSE
2,RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,FALSE,0,NA,23-11-2016 18:40,FALSE,NA,8.01496E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PRAMODKAUSHIK9,66,TRUE,FALSE
3,"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",FALSE,0,NA,23-11-2016 18:40,FALSE,NA,8.01496E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rahulja13034944,12,TRUE,FALSE
4,RT @ANI_news: Gurugram (Haryana): Post office employees provide cash exchange to patients in hospitals #demonetization https://t.co/uGMxUP9…,FALSE,0,NA,23-11-2016 18:39,FALSE,NA,8.01496E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",deeptiyvd,338,TRUE,FALSE
5,RT @satishacharya: Reddy Wedding! @mail_today cartoon #demonetization #ReddyWedding https://t.co/u7gLNrq31F,FALSE,0,NA,23-11-2016 18:39,FALSE,NA,8.01495E+17,NA,"<a href=""http://cpimharyana.com"" rel=""nofollow"">CPIMBadli</a>",CPIMBadli,120,TRUE,FALSE
6,"@DerekScissors1: India’s #demonetization: #Blackmoney a symptom, not the disease https://t.co/HSl6Ihj0Qe via @ambazaarmag",FALSE,0,DerekScissors1,23-11-2016 18:39,FALSE,NA,8.01495E+17,2586266100,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ambazaarmag,0,FALSE,FALSE
7,RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,FALSE,0,NA,23-11-2016 18:38,FALSE,NA,8.01495E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bhodia1,637,TRUE,FALSE
8,"RT @Joydeep_911: Calling all Nationalists to join...
Walk for #CorruptionFreeIndia and spread the benefits of #Demonetization among the mas…",FALSE,0,NA,23-11-2016 18:38,FALSE,NA,8.01495E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KARUNASHANKEROJ,112,TRUE,FALSE
9,"RT @sumitbhati2002: Many opposition leaders are with @narendramodi on the #Demonetization 
And respect their decision,but support oppositio…",FALSE,0,NA,23-11-2016 18:38,FALSE,NA,8.01495E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sumitbhati2002,1,TRUE,FALSE
10,National reform now destroyed even the essence of sagan. Such instances urge giving #demonetization a second though… https://t.co/eyySIREiUq,FALSE,0,NA,23-11-2016 18:38,TRUE,NA,8.01495E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",HelpIndia2016,0,FALSE,FALSE
